sample_id	G000	G001	G002	G003	G004	G005	G006	G007	G008	G009	G010	G011	G012	G013	G014	G015	G016	G017	G018	G019	G020	G021	G022	G023	G024	G025	G026	G027	G028	G029	G030	G031	G032	G033	G034	G035	G036	G037	G038	G039	G040	G041	G042	G043	G044	G045	G046	G047	G048	G049	G050	G051	G052	G053	G054	G055	G056	G057	G058	G059	G060	G061	G062	G063	G064	G065	G066	G067	G068	G069	G070	G071	G072	G073	G074	G075	G076	G077	G078	G079
S033	0.542349	0.661674	1.889443	0.184830	1.734708	0.474229	1.337156	0.046894	1.112715	2.497237	2.731215	1.164233	0.925110	0.499014	0.933841	0.249931	2.660805	0.890354	0.579123	1.062152	2.182601	0.741027	0.846848	0.225848	0.326003	0.814557	5.337065	0.732074	1.531512	3.577910	1.482132	0.438914	0.790433	2.627770	1.110403	2.835762	0.489894	1.615241	1.066223	0.469707	1.030476	5.383559	0.382488	1.440707	6.590030	5.872719	5.410867	5.280482	1.601704	0.783554	3.302004	1.825136	2.350555	0.366201	0.238692	0.115574	0.374760	0.615096	0.536211	1.076140	0.080153	0.352172	0.814252	1.145100	0.698105	0.881114	0.308430	0.123487	0.176683	1.090079	0.187233	0.565894	1.004786	1.010366	0.278446	0.825799	0.323419	0.298557	0.229688	0.004431
S034	1.063494	3.549213	10.205045	0.541435	9.636366	1.252348	7.362557	0.527802	4.765798	11.834633	14.367028	6.488772	5.045223	1.237036	4.433886	1.052312	12.658571	4.650442	3.080847	5.652503	10.440428	3.279073	0.429094	0.752466	1.604708	2.665478	2.542797	0.552586	0.778513	1.682504	0.717049	0.629085	0.473379	1.354621	0.509891	1.237017	0.553558	0.810131	0.549568	0.289591	0.754860	3.588887	0.220091	0.758203	3.356170	2.855033	2.924904	2.780800	1.320321	0.405359	1.673920	1.108920	7.901627	1.399209	0.772391	0.464362	1.376353	2.086431	1.094027	3.289046	0.217650	0.655355	2.093822	3.701162	2.275584	3.020451	1.041499	0.248004	0.698852	2.121026	0.698590	0.239977	2.956856	1.985849	1.115388	3.209153	1.453942	1.058970	0.031079	0.036588
S035	1.315291	3.954896	11.358693	0.723438	10.222079	1.590243	8.164359	0.132907	5.415303	13.334718	16.155421	7.221940	5.641291	1.486663	4.937594	1.219242	14.275404	5.244889	3.263956	6.509007	11.682250	3.650880	0.533418	0.859906	2.025105	3.268881	4.472839	0.808713	1.331779	2.859913	1.251999	0.390929	0.727128	2.169916	0.951853	2.102505	0.710811	1.332388	0.899236	0.436814	0.983914	5.429114	0.710650	1.546164	5.476033	4.806053	4.827820	4.618479	1.577066	0.725456	2.725842	1.457952	5.904579	1.144161	0.575882	0.242689	1.293679	1.579314	0.966121	2.207643	0.303733	0.825518	1.613174	3.074767	1.655880	2.075505	0.758950	0.351516	0.585403	1.591162	0.751308	0.247037	2.484284	1.334999	1.191859	2.030342	1.433883	0.874955	0.189297	0.174765
S036	0.852665	1.764119	4.957601	0.870107	4.495430	0.675126	3.525440	0.039287	2.383268	6.095265	6.928066	3.520732	2.407134	0.863802	2.134634	0.704620	6.364350	2.455170	1.460737	2.701589	4.978921	1.563540	0.374898	0.663829	0.770911	1.348307	6.049494	0.914591	1.767777	3.980169	1.843020	0.467183	0.891764	3.192463	1.150135	2.784764	0.646981	1.844368	1.206698	0.709653	1.331235	6.271027	0.394204	1.733831	7.659368	6.632834	6.281144	6.158314	1.922681	0.913327	4.019140	2.004901	7.085264	1.130808	0.787057	0.313484	1.235804	1.862708	0.895925	2.795536	0.156513	0.746697	2.063941	3.680441	2.052967	2.813013	1.339671	0.280520	0.543788	2.159993	0.435961	0.301627	2.907073	1.631644	1.541040	2.660865	0.967830	0.805568	0.035549	0.057554
S037	0.532111	1.478816	4.630514	0.453967	4.091456	0.547160	2.969342	0.022205	2.089630	4.834283	5.855466	2.638161	2.415442	1.107162	1.791362	0.418450	5.330579	2.051736	1.447830	2.288065	4.382735	1.316602	0.217372	0.519200	0.655065	1.068418	1.636313	0.709688	0.483936	1.113609	0.613141	0.191887	0.272480	1.034696	0.356889	0.832271	0.273938	0.534094	0.337079	0.179330	0.602110	2.072371	0.181688	0.482833	2.248240	1.896167	1.798540	1.883635	0.661283	0.286573	1.027356	0.553842	7.616092	1.169313	0.725572	0.330735	1.605975	1.954246	0.999040	3.013072	0.142699	0.520768	2.083485	3.741273	2.328296	2.879320	1.025333	0.271245	0.743801	2.131265	0.340930	0.265383	2.804536	1.724710	0.580736	2.668892	0.867157	0.911898	0.180784	0.069989
S038	0.569293	1.086144	2.898474	0.590418	2.997082	0.509987	1.961766	0.092839	1.338362	3.289853	4.070431	1.762866	1.367240	0.492672	1.202023	0.334344	3.792191	1.405077	0.929508	1.554488	2.842555	1.028389	0.189250	1.239405	0.578582	0.741359	1.714187	0.388783	0.467719	1.026019	0.448597	0.275219	0.449543	0.827751	0.275106	0.733996	0.229484	0.531668	0.443623	0.145098	0.739444	2.402972	0.114362	0.498768	2.131356	2.090102	1.668462	1.593562	0.612350	0.241906	1.729295	0.725852	11.094732	1.553480	1.086889	0.628159	1.897965	2.859660	1.242846	4.430421	0.380812	0.711086	3.143686	5.388686	3.273323	4.396579	1.579931	0.346705	0.759452	3.078838	0.202395	0.216503	4.702954	2.494235	0.607614	3.820377	1.008537	1.214704	0.299887	0.164134
S039	1.777851	5.084025	14.646253	0.634125	13.261373	1.848668	10.513056	0.072918	6.941474	17.345570	20.581800	9.215066	7.437945	2.082373	6.334891	1.538452	18.527462	7.353799	4.415672	8.114003	14.933753	4.625604	0.775736	1.129479	2.310490	3.814407	8.519197	1.503677	2.476717	5.745818	2.388205	0.385076	1.173864	4.457091	1.619716	4.026324	1.146230	2.558518	1.752295	0.873409	1.824234	9.595135	0.592508	2.404120	10.670616	9.339133	9.069824	8.749991	2.866452	1.291940	5.294271	2.709981	9.865406	1.971596	0.964995	0.539180	1.801453	2.633613	1.494081	3.996516	0.299476	0.885887	2.796929	4.585170	2.824612	3.628644	1.406831	0.416079	0.969611	3.546393	1.061247	0.444207	3.799674	2.184427	1.565124	3.352717	2.056484	1.283349	0.076350	0.071963
S040	0.955064	2.839156	8.186103	0.269661	7.350432	1.369502	5.727210	0.193118	3.778275	9.402559	11.508688	5.027427	3.971018	1.147928	3.519546	0.800348	10.075109	3.768977	2.466615	4.457545	8.219120	2.533920	0.333869	0.697344	1.281144	2.170155	3.260363	0.512785	0.783040	1.773801	0.762546	0.102233	0.369677	1.413361	0.470323	1.262854	0.462334	1.116707	1.130239	0.351789	0.638078	3.382210	0.187701	0.902183	3.352490	2.908144	3.064181	2.951919	1.093424	0.469019	1.663369	0.849859	3.395168	0.702630	0.359286	0.253826	0.692662	1.058372	0.715055	1.180982	0.415843	1.045456	0.957868	1.540088	0.925745	1.472529	0.477795	0.223906	0.412072	0.822401	0.615498	0.214562	1.294774	0.744334	0.880847	1.090463	0.970416	0.619213	0.168400	0.069072
S041	0.670249	1.592965	4.473847	0.271305	4.042105	0.560584	3.133233	0.315903	2.286969	5.580814	6.159181	2.734509	2.169643	0.830098	1.903150	0.464699	5.896326	2.047317	1.315545	2.491178	4.531114	1.384820	0.407505	0.380313	0.774382	1.183507	5.990466	0.860745	1.820316	4.046657	1.694417	0.140642	1.433390	2.846699	1.306353	2.810003	0.652445	1.772611	1.217499	0.545003	1.119102	6.562081	0.393813	1.584946	7.560113	6.499059	6.263317	6.003143	1.871060	0.888793	3.800109	1.942115	3.794436	0.826565	0.356855	0.377206	0.615957	1.019064	0.472376	1.345462	0.103562	0.539739	1.013885	1.490825	1.001840	1.221649	0.409948	0.462613	0.280794	0.862161	0.293987	0.195517	1.317134	0.783206	0.506150	1.121400	0.618507	0.383215	0.061288	0.048518
S042	0.760202	0.934624	2.597561	0.951407	2.642340	0.487482	1.925942	0.084934	1.578343	4.025311	3.817024	2.181167	1.495318	0.998260	1.291653	0.327649	4.059739	1.302040	0.806416	1.579291	2.770279	0.847728	0.577743	0.326404	0.435291	0.921764	12.985547	1.789414	3.696738	8.417307	3.734243	0.262989	2.083828	6.530656	2.239487	5.828215	1.339401	3.790217	2.523852	1.124507	2.730453	12.530971	0.839876	3.442365	15.874181	13.831997	12.980191	12.665122	3.823838	1.887121	7.927607	4.136671	4.969349	0.737453	0.668550	0.282390	0.848514	1.526596	0.736437	2.463326	0.321884	0.606844	1.883106	2.443043	1.526565	1.908856	0.685857	0.260554	0.384201	1.739946	0.211677	0.307742	2.262100	1.249216	0.377533	1.859151	0.717530	0.727737	0.013641	0.011872
S043	1.127259	3.438664	9.646231	0.618796	8.885539	1.248965	7.173824	0.395384	4.602298	11.969077	13.729029	6.197252	4.786244	1.450716	4.204549	1.025211	12.219076	4.531334	2.786685	6.174265	9.967677	3.077223	0.518669	0.971875	1.567968	2.574816	5.420522	0.953770	2.065571	3.518879	1.510446	0.312822	0.891474	2.726172	1.219401	2.502029	0.767918	1.757320	1.142685	0.514640	1.499936	6.187818	0.350834	1.710073	6.797748	6.073899	5.781201	5.740330	1.853407	1.099115	3.542260	2.260255	11.034056	1.777722	1.196030	0.566904	1.965933	3.076277	1.449295	4.328559	0.286755	1.059254	3.207957	5.236580	3.248665	4.066079	1.508578	0.366240	1.109407	3.198598	0.978777	1.042922	4.391785	2.469526	1.186522	3.844216	1.746531	1.448824	0.109133	0.358937
S044	0.330255	0.839731	2.321788	0.576108	2.760525	0.573580	1.716505	0.022082	1.433750	2.964627	3.861843	1.472500	1.149674	0.834508	1.044958	0.315678	3.053855	1.141914	0.869548	1.391973	2.401983	0.738743	0.323536	0.196007	0.480963	0.671135	3.403751	0.505491	1.266009	2.125500	1.000608	0.182591	0.836244	1.559309	0.605215	1.604287	0.464842	1.093179	0.653376	0.300614	0.832638	3.459142	0.691677	0.929261	4.119719	3.641341	3.484914	3.366385	1.021758	0.606778	2.038225	1.054919	6.019142	0.899420	0.607676	0.708296	1.034308	1.642439	0.698019	2.688089	0.123231	0.471453	2.079291	2.889700	1.748726	2.285617	1.202460	0.233024	0.434517	1.898476	0.252310	0.156078	2.288622	1.427285	0.490707	2.284482	0.858677	1.018466	0.015604	0.015050
S045	0.375048	1.445034	4.045084	1.087344	3.766013	0.843216	2.750285	0.021707	1.895348	4.428514	5.764531	2.756781	2.017622	0.428747	1.672956	0.615399	4.788605	2.092637	1.289538	2.194695	3.952561	1.257784	0.232544	0.368330	0.635117	1.024470	0.268267	0.264591	0.455168	0.207267	0.220777	0.464956	0.310557	0.294780	0.148213	0.226862	0.211007	0.270175	0.192423	0.036686	0.893380	1.429027	0.095597	0.304330	0.720950	0.643507	0.580562	0.623747	0.231903	0.244904	0.214955	0.084888	19.215961	2.514105	1.881844	0.847034	3.378810	4.792378	2.176754	7.755713	0.333774	1.339368	5.069847	9.393186	5.681818	7.347712	2.697512	0.624968	1.397913	5.864031	0.522442	1.445666	7.440706	4.942488	0.864052	6.815055	1.596535	2.073058	0.681814	0.288745
S046	1.230429	1.247319	3.123159	0.606826	3.011144	0.406180	2.335808	0.018270	1.619672	3.787935	4.886187	1.975094	1.565108	0.524241	1.483516	0.426040	4.038437	1.438741	1.011423	1.748247	3.172291	1.257474	0.312978	0.325901	0.508158	0.857578	3.545126	0.612841	1.047665	2.249984	0.973514	0.302052	0.551939	1.999470	0.605294	1.629685	0.397806	1.493792	0.694664	0.413961	1.076973	3.672209	0.248839	0.932475	4.389402	4.306030	3.539818	3.493835	1.361668	0.553531	2.197892	1.089355	11.385687	1.591474	1.408622	0.563709	2.072603	2.930426	1.383730	4.592796	0.402831	1.213552	3.406744	5.958720	3.455816	4.325990	1.586665	0.376899	0.934035	3.116408	0.290959	0.269283	4.372460	2.738541	0.599794	4.060503	1.009084	1.338586	0.186420	0.052874
S047	0.928138	2.097653	5.916630	0.888668	5.442420	0.746266	4.154707	0.146169	2.817508	6.980718	8.398641	3.795495	3.028717	0.860341	2.672319	0.619435	7.452258	2.700650	2.000981	3.335317	6.046172	1.837119	0.801146	0.445875	1.385003	1.912043	4.143724	0.753581	1.426466	2.873862	1.127087	0.349655	0.694238	2.018062	0.704458	1.913770	0.500497	1.276693	0.988149	0.391658	1.242695	4.436861	0.363538	1.718219	4.994522	5.146246	4.252363	3.995646	1.426188	0.588245	2.472393	1.292870	12.815738	1.795065	1.235514	0.688934	2.616959	3.660977	1.541826	5.151058	0.296810	0.871865	3.568680	6.181407	4.115776	4.775915	2.148037	0.412824	0.941605	3.494220	0.650678	0.314896	4.851815	2.977950	1.013075	4.481398	1.356307	1.491387	0.082631	0.124797
S048	1.105226	3.164425	8.953107	0.696468	8.142521	1.104104	6.306058	0.041200	4.231187	10.556268	12.641534	5.635854	4.399275	1.315440	4.272824	0.967798	11.412204	4.068559	2.545912	4.946445	9.233477	2.820895	0.613357	0.674084	1.401427	2.338581	5.792670	0.947689	1.672664	3.816214	1.611882	0.313239	0.951722	3.069618	1.090175	2.680414	0.942413	1.743823	1.180164	0.645252	1.379363	6.491153	0.425382	1.561198	7.200456	7.272466	6.096920	5.975617	1.925528	0.871005	3.611137	1.832446	9.661125	1.515237	0.935667	0.416288	1.633758	2.646165	1.270447	3.794320	0.364413	0.888142	3.001804	4.621266	3.163106	3.687303	1.515346	1.049590	1.173224	2.646578	0.839615	0.375293	3.713371	2.153957	1.048480	3.457422	2.080907	1.171701	0.341718	0.022072
S049	0.509336	1.772120	4.696129	0.928378	4.609282	0.632103	3.440932	0.104711	2.294818	5.916348	6.899845	3.063723	2.348712	1.065519	2.137614	0.550708	5.916093	2.232004	1.706449	2.632133	4.933528	1.499190	0.607733	0.527121	0.868165	1.296046	1.887261	0.668355	1.249253	1.360803	0.536352	0.474479	0.788773	1.050593	0.332085	0.871830	0.294432	0.785057	0.553185	0.178611	1.381040	2.502144	0.233900	0.662256	2.818910	2.355321	2.053278	2.000091	0.952976	0.340173	1.241384	0.612592	19.834297	2.663243	1.883705	0.872585	3.628406	4.958510	2.268062	7.968614	0.354333	1.363612	5.291583	9.937964	5.906277	7.484271	2.703767	0.597024	1.412167	5.430327	0.349120	0.391102	7.418572	4.478754	1.092010	7.154287	1.712502	2.339311	0.032084	0.254875
S050	0.466318	0.908914	2.408662	0.371091	2.277226	0.323210	1.721570	0.018918	1.156734	2.935654	3.382875	1.845046	1.695973	0.378906	1.045098	0.244123	3.604720	1.133652	0.690842	1.942200	2.446936	0.752610	1.332817	0.553377	0.414103	0.718979	2.230105	0.384378	1.139870	1.548482	0.615843	0.095582	0.313521	1.095190	0.398704	1.019182	0.283693	0.668637	0.473476	0.273375	0.515240	2.379409	0.252513	0.632743	2.743553	2.464568	2.334477	2.232912	0.707992	0.357722	1.947971	0.716141	3.095967	0.689973	0.384346	0.170312	0.587187	0.805877	0.484167	1.276874	0.109058	0.247247	0.889055	1.500391	1.063259	1.145530	0.434211	0.110184	0.353371	0.898262	0.162002	0.112920	1.544497	0.739499	0.355127	1.158184	0.428000	0.355948	0.027311	0.025095
S051	0.148620	0.383113	0.373022	1.197050	1.426843	0.157440	0.210191	0.199257	0.182388	0.514974	0.868934	0.596864	0.201599	0.233540	0.234074	0.072247	0.515673	0.565582	0.392982	0.165160	0.224030	0.065648	0.266840	0.059065	0.084677	0.325048	3.737974	0.720656	1.067825	2.558718	1.075894	0.639788	0.684709	2.085733	0.656083	1.748971	0.393020	1.415422	0.832950	0.414455	1.795598	3.854138	0.778649	1.036276	4.900612	4.496236	3.728577	3.742693	1.167887	0.754869	2.908453	1.617919	25.545213	3.061819	2.595681	1.217976	4.709810	6.482129	3.205492	10.407471	0.326434	1.782671	6.938350	12.504763	7.858651	9.748785	3.527245	0.853774	1.683852	7.047126	0.268326	0.425637	9.596345	5.853089	0.813168	9.126501	1.645697	2.691439	0.301154	0.026356
S052	0.551363	1.655996	4.829869	0.218774	4.301367	0.756607	3.683956	0.039752	2.257771	5.676288	6.738373	3.039596	2.387843	0.749148	2.111650	0.667485	6.029105	2.175929	1.775066	2.705144	4.892474	1.665813	0.611271	0.398804	0.751526	1.237098	1.764951	0.396967	0.572799	1.149424	0.581546	0.053563	0.420385	0.903669	0.405209	0.835440	0.318313	0.714080	0.360531	0.317192	0.348852	2.154252	0.226974	0.755170	3.121910	2.014452	1.934049	1.848440	0.655480	0.269922	1.090055	0.634335	2.295874	0.374547	0.198540	0.192658	0.961875	0.434760	0.304869	0.557343	0.643978	0.226150	0.826556	0.673418	0.580870	0.623368	0.205007	0.078891	0.318800	0.391866	0.941185	0.091021	0.627251	0.407540	0.469114	0.583763	0.546159	0.821208	0.123923	0.098914
S053	1.273858	3.524531	9.547625	0.433206	8.683324	1.297316	6.914229	0.067294	4.654102	11.434050	13.524284	6.135809	4.769152	1.359937	4.161141	1.155813	12.273127	4.579850	2.753241	5.330834	10.057124	3.030673	0.810391	0.716426	1.695786	2.524737	5.178652	0.872824	1.536497	3.536273	1.450924	0.328606	0.728843	2.531340	1.238243	2.407651	1.160285	1.565330	1.053796	0.501588	1.151410	5.934137	0.427691	1.436253	6.491174	5.675844	5.765145	5.369562	1.806557	1.142141	3.305457	1.650405	6.952466	1.208281	0.692301	0.625279	1.206275	1.840999	1.149125	2.695410	0.210499	0.750889	2.124303	3.259754	2.625526	2.539683	1.010847	0.258975	0.625217	1.853735	0.834540	0.264346	2.703729	1.536727	1.129676	2.386397	1.416948	0.931185	0.016612	0.015654
S054	0.303991	0.623840	1.181757	0.664269	1.283647	0.178451	1.092753	0.043665	0.635318	1.643276	1.830460	0.793570	0.594987	0.356691	0.643126	0.208261	1.721926	0.630409	0.868508	0.816974	1.270562	0.378763	0.453579	0.375290	0.215236	0.485686	4.709116	0.727215	1.372705	2.886246	1.243693	0.333581	0.604541	1.974475	0.702438	1.841440	0.389168	1.226919	0.886463	0.494048	1.172745	3.998260	0.295441	1.141063	5.080232	4.462343	4.045164	4.152069	1.226111	0.585559	2.626274	1.830575	10.844616	1.362942	1.202911	0.879485	1.944069	2.836637	1.210880	4.388749	0.177904	0.943975	3.047867	5.343088	3.207151	4.304850	1.719631	0.376057	0.778440	3.220450	0.357900	0.371033	4.270052	2.494992	0.610773	3.824300	0.850614	1.532361	0.031419	0.046454
S055	0.838429	2.237470	6.022517	0.760855	5.547395	0.837314	4.248716	0.165075	2.874636	7.230037	8.711811	3.901642	2.948579	1.732111	2.590758	0.643497	8.123853	2.736493	1.805520	3.482924	6.420678	1.920290	0.405084	0.892773	0.979927	1.595747	5.469238	1.001252	1.558412	3.512916	1.789292	0.315955	1.313360	2.630529	1.014895	2.478130	0.733227	1.809628	1.074121	0.509112	1.394658	5.790662	0.500473	1.543342	6.773848	5.959176	5.657998	5.457460	1.780908	0.809686	3.338201	1.804492	11.541567	1.639507	1.466794	0.490734	2.043741	2.868626	1.348821	4.451389	0.261082	0.865175	3.423808	5.401631	3.368152	4.205009	1.529015	0.392598	1.132243	3.055686	0.426038	0.433391	4.710236	2.521621	0.990695	3.905291	1.687295	1.262130	0.017301	0.028723
S056	0.607321	1.177946	3.183865	1.088928	2.898996	0.444930	2.188723	0.029924	1.371910	3.492945	4.199699	1.836757	1.400051	0.495644	1.272631	0.311996	3.643766	1.369248	1.351639	1.708996	2.902043	0.893030	0.285515	0.278475	0.482182	1.150389	3.204450	0.716818	1.052292	2.188102	1.020501	0.483358	0.867611	1.650836	0.566878	1.488611	0.368872	1.077755	0.814963	0.311030	1.358599	3.553862	0.240067	0.982336	4.261251	3.839604	3.395484	3.280545	1.070638	0.548626	2.060371	1.276372	17.972507	2.292825	2.419749	0.802665	3.135805	4.489239	2.238693	7.317900	0.554966	1.504109	5.320800	8.841689	5.380236	6.812878	2.473101	0.633430	1.213512	5.057696	0.221096	0.326124	6.719069	4.059257	0.760850	6.319291	1.412864	2.054730	0.071009	0.102006
S057	1.053057	2.884262	8.146713	0.797257	7.632921	1.149959	5.812203	0.200255	3.938050	9.938749	11.483472	5.287737	4.349600	1.474232	3.618447	0.843011	10.444939	3.733308	2.545704	4.498218	8.279011	2.598499	0.547832	0.663242	1.283410	2.302422	8.024765	1.394049	2.370567	5.451375	2.250209	0.334450	1.179249	3.883300	1.629305	3.723378	0.976557	2.468239	1.606671	0.781997	1.791686	8.505389	1.047043	2.253669	10.272479	9.073017	8.369278	8.107252	2.872885	1.200149	5.198259	2.649391	10.939646	1.641752	1.039385	0.544348	1.837979	2.779777	1.377130	4.309232	0.288179	1.088502	3.188039	5.130743	3.123555	3.994937	1.448781	0.595211	0.846779	2.957527	0.552062	0.349157	4.309808	2.420948	1.008328	3.822554	1.480440	1.448710	0.018307	0.141685
S058	0.471127	1.119188	2.562532	0.226168	2.384820	0.312153	1.869031	0.085144	1.771376	3.480857	3.549806	1.576007	1.453342	0.530594	1.148908	0.277617	3.623224	1.301309	0.795044	1.576454	2.630054	0.792456	0.452185	0.226172	0.417721	0.934801	4.974334	0.652584	1.328799	3.140714	1.281893	0.276349	0.674635	2.149901	0.818793	2.099439	0.457100	1.357547	0.912852	0.569300	0.879396	5.055316	0.316477	1.233454	5.995425	5.001767	4.706324	4.582272	1.408832	0.681059	2.949125	1.471000	2.497757	0.459618	0.610038	0.117945	0.466024	1.126364	0.538597	1.011124	0.353605	0.313050	0.812175	1.669196	0.715034	0.970307	0.473957	0.521878	0.214417	0.888680	0.345049	0.132383	1.074324	0.622671	0.290455	1.041506	0.402809	0.537165	0.177050	0.010279
S059	0.936096	2.990657	8.535950	0.482609	8.029660	1.194944	6.195443	0.046136	4.710856	9.973548	12.067488	5.345017	4.520913	1.259929	3.709209	0.893557	10.887732	4.489772	2.444001	4.902604	8.724393	2.726705	0.550175	0.696158	1.356619	2.215452	2.665493	0.660606	0.890609	1.801468	1.068184	0.273020	0.436177	1.378860	0.494681	1.259415	0.480330	0.838884	0.650434	0.595500	0.859163	3.603413	0.179945	0.760247	3.388150	3.021448	2.991447	2.955923	1.506932	0.420724	1.665840	0.939708	9.181041	1.427529	0.958575	0.380992	1.582108	2.488123	1.156618	4.386946	0.302433	0.639238	2.449204	4.291413	2.886910	3.334350	1.212554	0.308141	0.730320	2.510391	0.783314	0.340375	3.367026	1.951105	0.997357	3.078404	1.512019	1.362312	0.167458	0.047266
S060	0.256349	0.452649	1.061953	0.539673	1.258813	0.473092	0.783871	0.115199	0.693310	1.366161	1.551765	0.675883	0.626085	0.263350	0.616347	0.123582	1.451732	1.309882	0.428951	0.613851	1.456162	0.467817	0.164543	0.123168	0.305367	0.398425	3.005415	0.445876	0.942521	1.841993	0.756235	0.224708	0.551063	1.437786	0.527020	1.401276	0.524552	0.859899	1.109222	0.240249	0.978116	2.900214	0.243012	0.746089	3.465143	3.053317	2.739935	2.686247	0.858971	0.777647	1.701953	0.911975	8.175391	1.016436	0.969971	0.395950	1.583262	2.056681	0.904424	3.270933	0.116169	0.580143	2.277372	3.971341	2.612369	3.313697	1.131945	0.333360	0.780227	2.279252	0.112978	0.192698	3.140783	1.837441	0.310293	2.926872	0.663264	1.117034	0.183346	0.009554
S061	0.204514	0.413404	0.191573	0.764149	0.536180	0.115491	0.144341	0.390388	0.190044	0.540448	0.631563	0.211278	0.283633	0.273269	0.790266	0.068833	0.732489	0.146134	0.396030	0.249556	0.235776	0.062228	0.241056	0.065809	0.054438	0.170368	4.414721	0.728514	1.461449	2.994817	1.229967	0.504862	0.694663	2.243899	0.777413	2.037295	0.404002	1.563424	0.868967	0.380104	1.520830	4.465238	0.471670	1.353368	5.834918	4.983960	4.433967	4.292790	1.384038	0.654627	2.732323	1.517343	16.154617	2.200635	1.525976	0.724864	2.804834	4.003950	2.019817	6.557402	0.216498	1.158328	4.410025	7.852095	4.781031	6.363032	2.204852	0.548872	1.303881	4.429886	0.269395	0.303922	6.066850	3.784285	0.462150	5.651421	1.463330	2.021979	0.025400	0.017755
S062	0.875752	2.105657	5.981697	0.305067	5.449454	1.169182	4.253452	0.022833	2.956490	7.440534	8.374021	4.118206	2.992583	1.252925	2.604352	0.675275	7.896425	2.770175	1.757477	3.323073	6.099639	2.027480	0.547260	0.566985	1.150226	1.620157	8.794135	1.312080	2.557128	5.730132	2.626551	0.393206	1.413378	4.514077	1.646285	4.036406	0.937026	2.621144	1.752984	0.923385	1.594302	8.998457	0.560625	2.414317	10.872229	9.624353	9.060224	8.944211	2.798999	1.386250	5.452331	2.841849	2.269910	1.141975	0.289019	0.205433	0.420540	0.686638	0.422534	1.268260	0.164945	0.430571	0.898032	1.214088	0.958085	0.852767	0.581531	0.264456	0.551749	0.629322	0.391868	0.496529	1.103430	0.564874	0.629705	0.755549	0.890544	0.340624	0.050306	0.067420
S063	1.101001	3.048954	8.829975	0.290548	7.916638	1.074478	6.684393	0.093505	4.113896	10.242818	12.281040	5.438430	4.392317	1.123894	3.786219	0.954556	10.902504	4.235414	2.443815	4.982274	9.151546	2.794421	0.380643	0.843397	1.373419	2.302540	3.310505	0.667962	1.019003	2.133958	1.031529	0.263243	0.457616	1.624199	0.576973	1.863952	0.533013	1.005457	0.685111	0.384804	0.850317	4.086292	0.391320	0.960620	4.336849	3.695695	3.613503	3.443700	1.219361	0.503986	2.039513	1.061873	4.275508	1.215847	0.458528	0.226185	0.724857	1.560808	0.669128	1.675576	0.164992	0.479334	1.172656	2.017707	1.279176	1.561394	0.637645	0.344996	0.490989	1.107319	0.630995	0.238438	1.702111	0.950241	0.954696	1.436219	1.426857	0.557534	0.244858	0.058325
S064	1.056941	2.866159	8.064635	2.127097	7.510775	1.016629	5.766598	0.127350	4.015528	10.398320	11.568287	5.089373	4.185917	1.221185	3.664982	0.888245	10.297805	3.851865	2.471910	4.501337	8.366408	2.600349	0.565363	0.628902	1.289742	2.134397	5.763079	0.962696	1.905032	3.768903	2.035810	0.668903	0.856543	2.803643	1.013494	2.666617	0.715154	1.785636	1.152536	0.737473	1.575384	6.472959	0.427024	1.662550	7.255340	6.367746	6.068901	5.919883	1.938704	0.926965	3.561296	1.826603	12.496053	1.955312	1.208802	0.549150	2.436577	3.207516	1.783710	4.937202	0.275343	0.944875	3.848246	5.987111	3.779492	4.669591	1.758425	0.829876	0.966655	3.703547	0.596274	0.481024	5.068558	2.974132	1.075172	4.439986	1.760193	1.440303	0.281517	0.215933
S065	1.188179	3.221749	8.999223	0.326100	8.293682	1.144841	6.436801	0.084219	4.488671	11.044817	12.725374	5.631628	4.504641	2.045866	3.933371	0.945422	11.695922	4.195210	2.525068	5.045609	9.314795	2.860485	0.788013	0.951505	1.422733	2.466127	9.440732	1.362827	2.902643	6.153406	2.656318	0.180691	1.251301	4.469322	1.700230	4.401681	1.054381	2.800709	1.888078	0.875373	1.980449	10.079816	0.595285	3.435384	11.680156	10.233661	9.872208	9.529959	3.003910	1.406269	5.883792	3.286577	3.362284	0.789569	0.488390	0.234330	0.532613	0.985085	1.192102	1.239006	0.218319	0.591772	1.166176	1.502896	0.991233	1.207456	0.429308	0.302243	0.421243	0.908908	0.593810	0.344779	1.522047	0.845342	0.914301	1.136926	1.260862	0.558482	0.005797	0.766804
S066	0.532234	0.190029	0.858644	0.133644	0.448007	0.060463	0.481822	0.031660	0.318249	0.825176	0.747502	0.362457	0.431271	0.335256	0.227331	0.049409	0.739523	0.221129	0.507553	0.370030	0.466900	0.179482	0.132151	0.057636	0.074216	0.175009	2.361027	0.325819	0.680054	1.530904	0.668278	0.223452	0.317926	1.099250	0.521462	1.105531	0.203553	0.758664	0.658611	0.225150	0.475619	2.312112	0.151598	0.731776	2.937661	2.696178	2.466700	2.322571	0.841398	0.507882	1.742939	1.071527	1.789723	0.393395	0.220955	0.081118	0.400763	0.498912	0.252142	0.735663	0.033005	0.578042	0.555192	0.866884	0.655581	0.677362	0.562740	0.176193	0.121878	0.956592	0.068146	0.114607	0.779625	0.712870	0.200508	0.631615	0.162622	0.286811	0.005788	0.038084
